Ticker Symbol ,Underlying Stock ,"Stock
Code ","TWSE
Stock"
CA,Nan Ya Plastics Corp.,1303,◎
CB,China Steel Corp.,2002,◎
CC,United Microelectronics Corp.,2303,◎
CD,"Taiwan Semiconductor Manufacturing Co., Ltd.",2330,◎
CE,"Fubon Financial Holding Co., Ltd.",2881,◎
CF,Formosa Plastics Corp.,1301,◎
CG,"Compal Electronics, Inc.",2324,◎
CH,AU Optronics Corp.,2409,◎
CJ,"Hua Nan Financial Holdings Co., Ltd.",2880,◎
CK,"Cathay Financial Holding Co., Ltd.",2882,◎
CL,"Mega Financial Holding Co., Ltd.",2886,◎
CM,"Taishin Financial Holding Co., Ltd.",2887,◎
CN,"CTBC Financial Holding Co., Ltd.",2891,◎
CQ,Uni-President Enterprises Corp.,1216,◎
CR,Far Eastern New Century Corp.,1402,◎
CS,Walsin Lihwa Corp.,1605,◎
CU,CMC Magnetics Corp.,2323,◎
CW,Qisda Corp.,2352,◎
CX,TATUNG COMPANY,2371,◎
CY,Nanya Technology Corp.,2408,◎
CZ,Evergreen Marine Corp. (Taiwan) Ltd.,2603,◎
DA,Yang Ming Marine Transport Corp.,2609,◎
DB,China Airlines Ltd.,2610,◎
DC,"Chang Hwa Commercial Bank, Ltd.",2801,◎
DD,"Shin Kong Financial Holding Co., Ltd.",2888,◎
DE,"SinoPac Financial Holdings Co., Ltd.",2890,◎
DF,"Taiwan Cement Corp., Ltd.",1101,◎
DG,Formosa Chemicals & Fibre Corp.,1326,◎
DH,"Hon Hai Precision Ind. Co., Ltd.",2317,◎
DI,"Macronix International Co., Ltd.",2337,◎
DJ,Asustek Computer Inc.,2357,◎
DK,Quanta Computer Inc.,2382,◎
DL,"Chunghwa Telecom Co., Ltd.",2412,◎
DN,"E.Sun Financial Holding Co., Ltd.",2884,◎
DO,"Yuanta Financial Holding Co., Ltd.",2885,◎
DP,"First Financial Holding Co., Ltd.",2892,◎
DQ,Innolux Corp.,3481,◎
DS,Acer Inc.,2353,◎
DV,MediaTek Inc.,2454,◎
DW,Ruentex Industries Ltd.,2915,◎
DX,Wistron Corp.,3231,◎
DY,Asia Cement Corp.,1102,◎
DZ,"Great Wall Enterprise Co., Ltd.",1210,◎
EE,Grand Pacific Petrochemical Corp.,1312,◎
EG,China Petrochemical Development Corp.,1314,◎
EH,"Tong Yang Industry Co., Ltd.",1319,◎
EK,"Tainan Spinning Co., Ltd.",1440,◎
EM,"Teco Electric & Machinery Co., Ltd.",1504,◎
EP,AIRTAC International Group,1590,◎
EY,China Man-Made Fiber Corp.,1718,◎
EZ,"Taiwan Fertilizer Co., Ltd.",1722,◎
FB,Tung Ho Steel Enterprise Corp.,2006,◎
FC,Chung Hung Steel Corporation,2014,◎
FE,"Ta Chen Stainless Pipe Co., Ltd.",2027,◎
FF,Hiwin Technologies Corp.,2049,◎
FG,"King Slide Works Co., Ltd.",2059,◎
FK,"Cheng Shin Rubber Ind., Co., Ltd.",2105,◎
FN,"YULON MOTOR CO.,LTD",2201,◎
FQ,Lite-On Technology Corp.,2301,◎
FR,"Delta Electronics, Inc.",2308,◎
FS,"KINPO ELECTRONICS, INC.",2312,◎
FT,"Compeq Manufacturing Co., Ltd.",2313,◎
